Rank,File,Calls,Effort,Complexity,Category,Rationale
1,frontend/tests/e2e/smoke.e2e.spec.ts,6,low,simple,test,"simple complexity, test file (safer to migrate), few unique functions"
2,frontend/tests/e2e/context-aware-search.spec.ts,6,low,simple,test,"simple complexity, test file (safer to migrate), few unique functions"
3,frontend/tests/auth.setup.ts,13,medium,moderate,test,"test file (safer to migrate), high debug usage, few unique functions"
4,frontend/src/lib/utils/rails-validation.test.ts,4,low,simple,test,"simple complexity, test file (safer to migrate), few unique functions"
5,frontend/tests/e2e/homepage-search.spec.ts,4,low,simple,test,"simple complexity, test file (safer to migrate), few unique functions"
6,frontend/tests/security/debug-security.spec.ts,3,low,simple,test,"simple complexity, test file (safer to migrate), few unique functions"
7,frontend/tests/security/api-security.spec.ts,2,low,simple,test,"simple complexity, test file (safer to migrate), few unique functions"
8,frontend/src/routes/(authenticated)/zero-test/+page.svelte,1,low,simple,test,"simple complexity, test file (safer to migrate), few unique functions"
9,frontend/tests/helpers/config.ts,1,low,simple,test,"simple complexity, test file (safer to migrate), few unique functions"
10,frontend/src/lib/utils/persisted-store.ts,10,medium,moderate,utility,"high debug usage, utility file (good foundation), few unique functions"
11,frontend/src/lib/utils/debug/implementation-test.ts,5,medium,moderate,test,"test file (safer to migrate), few unique functions"
12,frontend/src/lib/utils/debug/__tests__/epic-015-integration.test.ts,11,high,complex,test,"test file (safer to migrate), high debug usage, few unique functions"
13,frontend/tests/helpers/search-page.ts,20,high,complex,test,"test file (safer to migrate), high debug usage, few unique functions"
14,frontend/src/lib/utils/debug/__tests__/epic-015-security.test.ts,13,high,complex,test,"test file (safer to migrate), high debug usage"
15,frontend/src/lib/utils/debug/__tests__/epic-015-migration.test.ts,26,high,complex,test,"test file (safer to migrate), high debug usage"
16,frontend/src/lib/utils/debug/__tests__/epic-015-performance.test.ts,9,high,complex,test,"test file (safer to migrate)"
17,frontend/src/lib/utils/debug/index.ts,3,high,simple,utility,"simple complexity, utility file (good foundation), few unique functions"
18,frontend/src/lib/utils/debug/browser.ts,7,high,moderate,utility,"utility file (good foundation), few unique functions"
19,frontend/src/lib/utils/debug/__tests__/epic-015-basic.test.ts,1,medium,moderate,test,"test file (safer to migrate), few unique functions"
20,frontend/src/lib/utils/debug/compatibility.ts,7,medium,moderate,utility,"utility file (good foundation), few unique functions"
21,frontend/src/lib/utils/position-calculator.ts,1,low,simple,utility,"simple complexity, utility file (good foundation), few unique functions"
22,frontend/src/lib/components/ApiTest.svelte,7,low,simple,component,"simple complexity, few unique functions"
23,frontend/src/lib/utils/debug/namespaces.ts,12,high,complex,utility,"high debug usage, utility file (good foundation), few unique functions"
24,frontend/src/lib/utils/debug/types.ts,3,medium,moderate,utility,"utility file (good foundation), few unique functions"
25,frontend/src/lib/zero/model-queries.ts,6,low,simple,other,"simple complexity, few unique functions"
26,frontend/src/lib/components/layout/JobStatusButton.svelte,6,low,simple,component,"simple complexity, few unique functions"
27,frontend/src/lib/zero/reactive-query-unified.svelte.ts,6,low,simple,other,"simple complexity, few unique functions"
28,frontend/src/lib/components/layout/Toolbar.svelte,5,low,simple,component,"simple complexity, few unique functions"
29,frontend/src/lib/api/csrf.ts,9,medium,moderate,api,"few unique functions"
30,frontend/src/lib/zero/runes.svelte.ts,14,medium,moderate,other,"high debug usage, few unique functions"
31,frontend/src/lib/zero/zero-client.ts,10,medium,moderate,other,"high debug usage, few unique functions"
32,frontend/src/lib/utils/popover-utils.ts,1,medium,moderate,utility,"utility file (good foundation), few unique functions"
33,frontend/src/lib/components/layout/TechnicianAssignmentButton.svelte,7,medium,moderate,component,"few unique functions"
34,frontend/src/routes/(authenticated)/jobs/+page.svelte,2,low,simple,other,"simple complexity, few unique functions"
35,frontend/src/lib/components/ui/BasePopover.svelte,1,low,simple,component,"simple complexity, few unique functions"
36,frontend/src/service-worker.ts,1,low,simple,other,"simple complexity, few unique functions"
37,frontend/src/lib/api/client.ts,16,high,complex,api,"high debug usage, few unique functions"
38,scripts/eslint-debug-migration-rule.js,5,high,moderate,other,"few unique functions"
39,scripts/migrate-debug-calls.js,5,medium,moderate,other,"few unique functions"
40,frontend/src/lib/api/auth.ts,4,medium,moderate,api,"few unique functions"
41,frontend/src/lib/components/jobs/JobDetailView.svelte,4,medium,moderate,component,"few unique functions"
42,frontend/src/lib/components/tasks/TaskInfoPopover.svelte,9,high,complex,component,"few unique functions"
43,frontend/src/lib/zero/reactive-query.svelte.ts,28,high,complex,other,"high debug usage, few unique functions"
44,frontend/src/lib/zero/reactive-query.ts,24,high,complex,other,"high debug usage, few unique functions"
45,frontend/src/lib/components/jobs/TaskList.svelte,9,high,complex,component,"few unique functions"
46,frontend/src/lib/models/migration/epic-008-migration.ts,3,medium,moderate,model,"few unique functions"
47,frontend/src/routes/(authenticated)/+layout.svelte,3,medium,moderate,other,"few unique functions"
48,frontend/src/lib/models/base/scoped-query-base.ts,2,medium,moderate,model,"few unique functions"
49,frontend/src/lib/zero/client.ts,2,medium,moderate,other,"few unique functions"
50,frontend/src/lib/zero/zero-config.ts,2,medium,moderate,other,"few unique functions"
51,frontend/src/lib/components/layout/SchedulePriorityEditPopover.svelte,1,medium,moderate,component,"few unique functions"
52,frontend/src/lib/components/ui/Portal.svelte,1,medium,moderate,component,"few unique functions"
53,frontend/src/lib/zero/zero-errors.ts,1,medium,moderate,other,"few unique functions"