table_name,field_name,current_status,proposed_change
activity_logs,id,not_null,
activity_logs,action,nullable,not_null
activity_logs,loggable_type,not_null,
activity_logs,metadata,nullable,
activity_logs,created_at,not_null,
activity_logs,updated_at,not_null,
activity_logs,user_id,nullable,
activity_logs,client_id,nullable,
activity_logs,job_id,nullable,
activity_logs,loggable_id,nullable,
clients,id,not_null,
clients,name,nullable,not_null
clients,created_at,not_null,
clients,updated_at,not_null,
clients,name_normalized,nullable,not_null
clients,client_type,not_null,
contact_methods,id,not_null,
contact_methods,value,nullable,not_null
contact_methods,formatted_value,nullable,
contact_methods,created_at,not_null,
contact_methods,updated_at,not_null,
contact_methods,person_id,nullable,not_null
contact_methods,contact_type,not_null,
devices,id,not_null,
devices,name,nullable,not_null
devices,model,nullable,
devices,serial_number,nullable,
devices,location,nullable,
devices,notes,nullable,
devices,created_at,not_null,
devices,updated_at,not_null,
devices,client_id,nullable,not_null
devices,person_id,nullable,
job_assignments,id,not_null,
job_assignments,created_at,not_null,
job_assignments,updated_at,not_null,
job_assignments,job_id,nullable,not_null
job_assignments,user_id,nullable,not_null
job_people,id,not_null,
job_people,created_at,not_null,
job_people,updated_at,not_null,
job_people,job_id,nullable,not_null
job_people,person_id,nullable,not_null
job_targets,id,not_null,
job_targets,target_type,not_null,
job_targets,status,nullable,not_null
job_targets,instance_number,not_null,
job_targets,reason,nullable,
job_targets,created_at,not_null,
job_targets,updated_at,not_null,
job_targets,job_id,nullable,not_null
job_targets,target_id,nullable,not_null
jobs,id,not_null,
jobs,title,nullable,not_null
jobs,created_at,not_null,
jobs,updated_at,not_null,
jobs,description,nullable,
jobs,lock_version,not_null,
jobs,client_id,nullable,not_null
jobs,created_by_id,nullable,not_null
jobs,due_at,nullable,
jobs,due_time_set,not_null,
jobs,starts_at,nullable,
jobs,start_time_set,not_null,
jobs,status,not_null,
jobs,priority,not_null,
notes,id,not_null,
notes,notable_type,not_null,
notes,content,nullable,not_null
notes,created_at,not_null,
notes,updated_at,not_null,
notes,metadata,nullable,
notes,user_id,nullable,not_null
notes,notable_id,nullable,not_null
people,id,not_null,
people,name,nullable,not_null
people,notes,nullable,
people,created_at,not_null,
people,updated_at,not_null,
people,client_id,nullable,not_null
refresh_tokens,id,not_null,
refresh_tokens,jti,not_null,
refresh_tokens,family_id,not_null,
refresh_tokens,expires_at,not_null,
refresh_tokens,device_fingerprint,nullable,
refresh_tokens,revoked_at,nullable,
refresh_tokens,created_at,not_null,
refresh_tokens,updated_at,not_null,
refresh_tokens,user_id,nullable,not_null
revoked_tokens,id,not_null,
revoked_tokens,jti,not_null,
revoked_tokens,user_id,not_null,
revoked_tokens,user_uuid,not_null,
revoked_tokens,revoked_at,not_null,
revoked_tokens,expires_at,not_null,
revoked_tokens,created_at,not_null,
revoked_tokens,updated_at,not_null,
scheduled_date_time_users,id,not_null,
scheduled_date_time_users,created_at,not_null,
scheduled_date_time_users,updated_at,not_null,
scheduled_date_time_users,scheduled_date_time_id,nullable,not_null
scheduled_date_time_users,user_id,nullable,not_null
scheduled_date_times,id,not_null,
scheduled_date_times,schedulable_type,not_null,
scheduled_date_times,scheduled_type,not_null,
scheduled_date_times,notes,nullable,
scheduled_date_times,created_at,not_null,
scheduled_date_times,updated_at,not_null,
scheduled_date_times,schedulable_id,nullable,not_null
scheduled_date_times,scheduled_at,nullable,not_null
scheduled_date_times,scheduled_time_set,not_null,
solid_cable_messages,id,not_null,
solid_cable_messages,channel,not_null,
solid_cable_messages,payload,not_null,
solid_cable_messages,created_at,not_null,
solid_cable_messages,channel_hash,not_null,
solid_cache_entries,id,not_null,
solid_cache_entries,key,not_null,
solid_cache_entries,value,not_null,
solid_cache_entries,created_at,not_null,
solid_cache_entries,key_hash,not_null,
solid_cache_entries,byte_size,not_null,
solid_queue_blocked_executions,id,not_null,
solid_queue_blocked_executions,job_id,not_null,
solid_queue_blocked_executions,queue_name,not_null,
solid_queue_blocked_executions,priority,not_null,
solid_queue_blocked_executions,concurrency_key,not_null,
solid_queue_blocked_executions,expires_at,not_null,
solid_queue_blocked_executions,created_at,not_null,
solid_queue_claimed_executions,id,not_null,
solid_queue_claimed_executions,job_id,not_null,
solid_queue_claimed_executions,process_id,nullable,
solid_queue_claimed_executions,created_at,not_null,
solid_queue_failed_executions,id,not_null,
solid_queue_failed_executions,job_id,not_null,
solid_queue_failed_executions,error,nullable,
solid_queue_failed_executions,created_at,not_null,
solid_queue_jobs,id,not_null,
solid_queue_jobs,queue_name,not_null,
solid_queue_jobs,class_name,not_null,
solid_queue_jobs,arguments,nullable,
solid_queue_jobs,priority,not_null,
solid_queue_jobs,active_job_id,nullable,
solid_queue_jobs,scheduled_at,nullable,
solid_queue_jobs,finished_at,nullable,
solid_queue_jobs,concurrency_key,nullable,
solid_queue_jobs,created_at,not_null,
solid_queue_jobs,updated_at,not_null,
solid_queue_pauses,id,not_null,
solid_queue_pauses,queue_name,not_null,
solid_queue_pauses,created_at,not_null,
solid_queue_processes,id,not_null,
solid_queue_processes,kind,not_null,
solid_queue_processes,last_heartbeat_at,not_null,
solid_queue_processes,supervisor_id,nullable,
solid_queue_processes,pid,not_null,
solid_queue_processes,hostname,nullable,
solid_queue_processes,metadata,nullable,
solid_queue_processes,created_at,not_null,
solid_queue_processes,name,not_null,
solid_queue_ready_executions,id,not_null,
solid_queue_ready_executions,job_id,not_null,
solid_queue_ready_executions,queue_name,not_null,
solid_queue_ready_executions,priority,not_null,
solid_queue_ready_executions,created_at,not_null,
solid_queue_recurring_executions,id,not_null,
solid_queue_recurring_executions,job_id,not_null,
solid_queue_recurring_executions,task_key,not_null,
solid_queue_recurring_executions,run_at,not_null,
solid_queue_recurring_executions,created_at,not_null,
solid_queue_recurring_tasks,id,not_null,
solid_queue_recurring_tasks,key,not_null,
solid_queue_recurring_tasks,schedule,not_null,
solid_queue_recurring_tasks,command,nullable,
solid_queue_recurring_tasks,class_name,nullable,
solid_queue_recurring_tasks,arguments,nullable,
solid_queue_recurring_tasks,queue_name,nullable,
solid_queue_recurring_tasks,priority,nullable,
solid_queue_recurring_tasks,static,not_null,
solid_queue_recurring_tasks,description,nullable,
solid_queue_recurring_tasks,created_at,not_null,
solid_queue_recurring_tasks,updated_at,not_null,
solid_queue_scheduled_executions,id,not_null,
solid_queue_scheduled_executions,job_id,not_null,
solid_queue_scheduled_executions,queue_name,not_null,
solid_queue_scheduled_executions,priority,not_null,
solid_queue_scheduled_executions,scheduled_at,not_null,
solid_queue_scheduled_executions,created_at,not_null,
solid_queue_semaphores,id,not_null,
solid_queue_semaphores,key,not_null,
solid_queue_semaphores,value,not_null,
solid_queue_semaphores,expires_at,not_null,
solid_queue_semaphores,created_at,not_null,
solid_queue_semaphores,updated_at,not_null,
task_completions,id,not_null,
task_completions,status,not_null,
task_completions,completed_at,nullable,
task_completions,notes,nullable,
task_completions,created_at,not_null,
task_completions,updated_at,not_null,
task_completions,task_id,nullable,not_null
task_completions,job_target_id,nullable,not_null
task_completions,completed_by_id,nullable,not_null
tasks,id,not_null,
tasks,title,nullable,not_null
tasks,position,nullable,not_null
tasks,created_at,not_null,
tasks,updated_at,not_null,
tasks,subtasks_count,nullable,not_null
tasks,reordered_at,nullable,not_null
tasks,lock_version,not_null,
tasks,applies_to_all_targets,not_null,
tasks,job_id,nullable,not_null
tasks,assigned_to_id,nullable,
tasks,parent_id,nullable,
tasks,discarded_at,nullable,
tasks,status,not_null,
unique_ids,id,not_null,
unique_ids,prefix,nullable,
unique_ids,suffix,nullable,
unique_ids,minimum_length,nullable,not_null
unique_ids,use_checksum,nullable,not_null
unique_ids,generated_id,not_null,
unique_ids,identifiable_type,nullable,not_null
unique_ids,identifiable_id,nullable,not_null
unique_ids,created_at,not_null,
unique_ids,updated_at,not_null,
users,id,not_null,
users,name,nullable,not_null
users,email,nullable,not_null
users,created_at,not_null,
users,updated_at,not_null,
users,password_digest,nullable,not_null
users,resort_tasks_on_status_change,not_null,
users,role,not_null,
versions,id,not_null,
versions,whodunnit,nullable,
versions,created_at,nullable,not_null
versions,item_id,not_null,
versions,item_type,not_null,
versions,event,not_null,
versions,object,nullable,